Nom de votre librairie,Adresse postale,Code postal,Ville,Latitude,Longitude
La Droguerie de Marine,66 rue Georges Clemenceau,35400,SAINT-MALO,48.639746696,-1.98082437
Un livre sur l'étagère,1 cour des Artistes,35220,CHÂTEAUBOURG,48.11999111,-1.403771661
Jojo lit & Lili joue,3 rue Marc Mouello,56520,GUIDEL,47.794236569,-3.492007127
Le Livre et la Plume,1 place Jean Jaurès,29900,CONCARNEAU,47.896166715,-3.907498634
Librairie-Café Le temps qu'il fait,12 place de l'Église,22110,MELLIONNEC,48.168271524,-3.289722989
Albertine,5 rue des Écoles,29900,CONCARNEAU,47.896166715,-3.907498634
Page 5,5 place de Bretagne,35170,BRUZ,48.025621235,-1.748644278
Bazoom BD-Musique,32 rue du Belzic,56400,AURAY,47.667418422,-2.990198652
La Mécanique des Mots,Lantran,22830,PLOUASNE,48.311784858,-2.007759354
Quand Les Livres s'ouvrent,47 rue Maréchal Foch,56100,LORIENT,47.750262993,-3.37883364
La Cabane à Lire,16 place Marcel Pagnol,35170,BRUZ,48.025621235,-1.748644278
Librairie de la Plage,4 avenue de la Plage,29950,BÉNODET,47.878467738,-4.076118892
Librairie disques Lenn Ha Dilenn,8 rue des Chanoines,56000,VANNES,47.659902935,-2.75681901
La Longue Vue,7 avenue Carnot,56360,LE PALAIS,47.342814537,-3.17092558
Librairie Vent de Soleil,17 rue du Château,56400,AURAY,47.667418422,-2.990198652
Des Gourmandises sur l'Etagère,7 bis Mail de Bourgchevreuil,35510,CESSON-SÉVIGNÉ,48.120546969,-1.596971716
M'enfin ?!,13 rue Victor Hugo,35000,RENNES,48.111571435,-1.681685888
Librairie Gargan'Mots,11 place du Vieux Marché,35830,BETTON,48.181503101,-1.646588104
Alfabulle,7 rue de la Mézière,35520,MELESSE,48.219003357,-1.689686863
Café-librairie Sur La Route,1 rue des Cieux,29690,HUELGOAT,48.361420837,-3.75827238
Librairie Aux vieux livres,3 rue Saulnerie,35410,CHÂTEAUGIRON,48.044012538,-1.500982707
Librairie Cheminant,19 rue Joseph le Brix,56000,VANNES,47.659902935,-2.75681901
Benheol,34 rue de Sainte-Anne,56000,VANNES,47.659902935,-2.75681901
Le Chaland Qui Passe,Place de la Cloche,22520,BINIC-ÉTABLES-SUR-MER,48.602677671,-2.831917412
Libellune,33 Grande Rue,35600,REDON,47.661304149,-2.080222013
